unit_id,bldg_no,level,unit_type,unit_height_m,unit_span_m,alum_panel_width_m,alum_panel_area_sm,glazing_width_m,glazing_area_sm,facade_area_sm,operable_area_sm,embodied_carbon_kgCO2e,unit_cost_usd,ventilation_louver,rescue_window
1-01-001,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-002,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-003,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-004,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-005,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-006,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-007,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-008,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-009,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-010,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-011,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-012,T1,1,sawtooth,6.0,2.0,0.4,2.4,1.74,10.44,12.84,1.12,2408.58,6741.0,False,False
1-01-013,T1,1,sawtooth,6.0,2.0,0.5,3.0,1.68,10.1,13.1,1.58,2465.86,6877.5,False,False
1-01-014,T1,1,sawtooth,6.0,2.0,0.6,3.6,1.63,9.79,13.39,2.02,2527.76,7029.75,False,False
1-01-015,T1,1,sawtooth,6.0,2.0,0.7,4.2,1.58,9.51,13.71,2.47,2592.51,7197.75,False,False
1-01-016,T1,1,sawtooth,6.0,2.0,0.8,4.8,1.54,9.25,14.05,2.92,2660.93,7376.25,False,False
1-01-017,T1,1,sawtooth,6.0,2.0,0.9,5.4,1.5,9.03,14.43,3.38,2733.15,7575.75,False,False
1-01-018,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-019,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-020,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-021,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-022,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-023,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-024,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-025,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-026,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-027,T1,1,sawtooth,6.0,2.0,0.8,4.8,1.54,9.25,14.05,2.92,2660.93,7376.25,False,False
1-01-028,T1,1,sawtooth,6.0,2.0,0.7,4.2,1.58,9.51,13.71,2.47,2592.51,7197.75,False,False
1-01-029,T1,1,sawtooth,6.0,2.0,0.5,3.0,1.68,10.1,13.1,1.58,2465.86,6877.5,False,False
1-01-030,T1,1,sawtooth,6.0,2.0,0.3,1.8,1.8,10.8,12.6,0.0,2353.2,6615.0,False,False
1-01-031,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-032,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-033,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-034,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-035,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-036,T1,1,sawtooth,6.0,2.0,0.4,2.4,1.74,10.44,12.84,1.12,2408.58,6741.0,False,False
1-01-037,T1,1,sawtooth,6.0,2.0,0.7,4.2,1.58,9.51,13.71,2.47,2592.51,7197.75,False,False
1-01-038,T1,1,sawtooth,6.0,2.0,0.8,4.8,1.54,9.25,14.05,2.92,2660.93,7376.25,False,False
1-01-039,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-040,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-041,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-042,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-043,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-044,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-045,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-046,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-047,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-048,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-049,T1,1,sawtooth,6.0,2.0,1.0,6.0,1.47,8.84,14.84,3.82,2809.99,7791.0,False,False
1-01-050,T1,1,sawtooth,6.0,2.0,0.9,5.4,1.5,9.03,14.43,3.38,2733.15,7575.75,False,False
1-01-051,T1,1,sawtooth,6.0,2.0,0.9,5.4,1.5,9.03,14.43,3.38,2733.15,7575.75,False,False
1-01-052,T1,1,sawtooth,6.0,2.0,0.8,4.8,1.54,9.25,14.05,2.92,2660.93,7376.25,False,False
1-01-053,T1,1,sawtooth,6.0,2.0,0.8,4.8,1.54,9.25,14.05,2.92,2660.93,7376.25,False,False
1-01-054,T1,1,sawtooth,6.0,2.0,0.7,4.2,1.58,9.51,13.71,2.47,2592.51,7197.75,False,False
1-01-055,T1,1,sawtooth,6.0,2.0,0.6,3.6,1.63,9.79,13.39,2.02,2527.76,7029.75,False,False
1-01-056,T1,1,sawtooth,6.0,2.0,0.6,3.6,1.63,9.79,13.39,2.02,2527.76,7029.75,False,False
1-01-057,T1,1,sawtooth,6.0,2.0,0.5,3.0,1.68,10.1,13.1,1.58,2465.86,6877.5,False,False
1-01-058,T1,1,sawtooth,6.0,2.0,0.4,2.4,1.74,10.44,12.84,1.12,2408.58,6741.0,False,False
1-01-059,T1,1,sawtooth,6.0,2.0,0.3,1.8,1.8,10.8,12.6,0.0,2353.2,6615.0,False,False
1-01-060,T1,1,sawtooth,6.0,2.0,0.3,1.8,1.8,10.8,12.6,0.0,2353.2,6615.0,False,False
1-01-061,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-062,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-063,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-064,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-065,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-066,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-067,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-068,T1,1,sawtooth,6.0,2.0,0.2,1.2,1.86,11.18,12.38,0.0,2299.72,6499.5,False,False
1-01-069,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-070,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-071,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-072,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-073,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-074,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-075,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-076,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-077,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-078,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-079,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-080,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-081,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-082,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-083,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-084,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-085,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-086,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-01-087,T1,1,flat,6.0,2.0,0.0,0.0,2.0,12.0,12.0,0.0,2202.0,5196.0,False,False
1-02-001,T1,2,flat,4.5,2.0,0.0,0.0,2.0,9.0,9.0,0.0,1740.0,3897.0,False,False
1-02-002,T1,2,flat,4.5,2.0,0.0,0.0,2.0,9.0,9.0,0.0,1740.0,3897.0,False,False
1-02-003,T1,2,flat,4.5,2.0,0.0,0.0,2.0,9.0,9.0,0.0,1740.0,3897.0,False,False
1-02-004,T1,2,flat,4.5,2.0,0.0,0.0,2.0,9.0,9.0,0.0,1740.0,3897.0,False,False
1-02-005,T1,2,flat,4.5,2.0,0.0,0.0,2.0,9.0,9.0,0.0,1740.0,3897.0,False,False
1-02-006,T1,2,sawtooth,4.5,2.0,0.2,0.9,1.86,8.39,9.29,0.0,1807.57,4877.25,False,False
1-02-007,T1,2,sawtooth,4.5,2.0,0.2,0.9,1.86,8.39,9.29,0.0,1807.57,4877.25,False,False
1-02-008,T1,2,sawtooth,4.5,2.0,0.2,0.9,1.86,8.39,9.29,0.0,1807.57,4877.25,False,False
1-02-009,T1,2,sawtooth,4.5,2.0,0.2,0.9,1.86,8.39,9.29,0.0,1807.57,4877.25,False,False
